image,sample_group,module,alpha_shape,over_mask_ratio,inside_over_src_mean,outside_src_mean,inside_minus_outside_src,inside_over_depth_mean,outside_depth_mean,inside_minus_outside_depth
622_xinjiang_IMG_0186_20260519023144722_realexp.jpg,overexposed,model.36.coord_att,80x80,0.019375,0.9744095802307129,0.9738002419471741,0.0006093382835388184,0.02559041976928711,0.026199758052825928,-0.0006093382835388184
622_xinjiang_IMG_0186_20260519023144722_realexp.jpg,overexposed,model.37.coord_att,40x40,0.01375,0.9084028601646423,0.871337890625,0.037064969539642334,0.09159713983535767,0.128662109375,-0.037064969539642334
622_xinjiang_IMG_0187_20260519023319264.jpg,normal,model.36.coord_att,80x80,0.0590625,0.9382895827293396,0.9665927886962891,-0.028303205966949463,0.0617104172706604,0.03340721130371094,0.028303205966949463
622_xinjiang_IMG_0187_20260519023319264.jpg,normal,model.37.coord_att,40x40,0.046875,0.8113915920257568,0.8522396683692932,-0.04084807634353638,0.18860840797424316,0.1477603316307068,0.04084807634353638
622_xinjiang_IMG_0187_20260519023319264.jpg,normal,model.38.coord_att,20x20,0.04,0.6614937782287598,0.6995267868041992,-0.03803300857543945,0.33850622177124023,0.3004732131958008,0.03803300857543945
622_xinjiang_IMG_0187_20260519023319264_realexp.jpg,overexposed,model.36.coord_att,80x80,0.06984375,0.9433451890945435,0.9667208194732666,-0.023375630378723145,0.05665481090545654,0.0332791805267334,0.023375630378723145
622_xinjiang_IMG_0187_20260519023319264_realexp.jpg,overexposed,model.37.coord_att,40x40,0.058125,0.8222370743751526,0.851904034614563,-0.0296669602394104,0.1777629256248474,0.148095965385437,0.0296669602394104
622_xinjiang_IMG_0187_20260519023319264_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0475,0.6484922766685486,0.6979039311408997,-0.049411654472351074,0.3515077233314514,0.30209606885910034,0.049411654472351074
622_xinjiang_IMG_0190_20260519180559035.jpg,normal,model.36.coord_att,80x80,0.0090625,0.9308499693870544,0.9749599695205688,-0.044110000133514404,0.06915003061294556,0.025040030479431152,0.044110000133514404
622_xinjiang_IMG_0190_20260519180559035.jpg,normal,model.37.coord_att,40x40,0.005625,0.8509370684623718,0.8757920861244202,-0.02485501766204834,0.14906293153762817,0.12420791387557983,0.02485501766204834
622_xinjiang_IMG_0190_20260519180559035_realexp.jpg,overexposed,model.36.coord_att,80x80,0.010625,0.9390879273414612,0.9752016663551331,-0.036113739013671875,0.06091207265853882,0.024798333644866943,0.036113739013671875
622_xinjiang_IMG_0190_20260519180559035_realexp.jpg,overexposed,model.37.coord_att,40x40,0.005625,0.8689256906509399,0.8757647275924683,-0.00683903694152832,0.13107430934906006,0.12423527240753174,0.00683903694152832
622_xinjiang_IMG_0190_20260519180559035_realexp.jpg,overexposed,model.38.coord_att,20x20,0.005,0.6049718260765076,0.764366865158081,-0.1593950390815735,0.39502817392349243,0.23563313484191895,0.1593950390815735
622_xinjiang_IMG_0191_20260519021026030.jpg,normal,model.36.coord_att,80x80,0.011875,0.9413867592811584,0.9728071093559265,-0.031420350074768066,0.05861324071884155,0.027192890644073486,0.031420350074768066
622_xinjiang_IMG_0191_20260519021026030.jpg,normal,model.37.coord_att,40x40,0.008125,0.7975814342498779,0.8686981797218323,-0.07111674547195435,0.20241856575012207,0.13130182027816772,0.07111674547195435
622_xinjiang_IMG_0191_20260519021026030_realexp.jpg,overexposed,model.36.coord_att,80x80,0.01296875,0.9484006762504578,0.9731978178024292,-0.024797141551971436,0.051599323749542236,0.0268021821975708,0.024797141551971436
622_xinjiang_IMG_0191_20260519021026030_realexp.jpg,overexposed,model.37.coord_att,40x40,0.00875,0.810225784778595,0.8687378764152527,-0.058512091636657715,0.18977421522140503,0.13126212358474731,0.058512091636657715
622_xinjiang_IMG_0191_20260601030809091.jpg,normal,model.36.coord_att,80x80,0.008125,0.9164246320724487,0.9702523946762085,-0.053827762603759766,0.08357536792755127,0.029747605323791504,0.053827762603759766
622_xinjiang_IMG_0191_20260601030809091.jpg,normal,model.37.coord_att,40x40,0.005,0.8556764125823975,0.8581415414810181,-0.0024651288986206055,0.14432358741760254,0.14185845851898193,0.0024651288986206055
622_xinjiang_IMG_0191_20260601030809091_realexp.jpg,overexposed,model.36.coord_att,80x80,0.00890625,0.9256982803344727,0.9705842137336731,-0.04488593339920044,0.07430171966552734,0.029415786266326904,0.04488593339920044
622_xinjiang_IMG_0191_20260601030809091_realexp.jpg,overexposed,model.37.coord_att,40x40,0.005,0.8542073369026184,0.8584062457084656,-0.004198908805847168,0.1457926630973816,0.14159375429153442,0.004198908805847168
622_xinjiang_IMG_0194_20260519023145537.jpg,normal,model.36.coord_att,80x80,0.02546875,0.9513800740242004,0.9664298892021179,-0.01504981517791748,0.04861992597579956,0.03357011079788208,0.01504981517791748
622_xinjiang_IMG_0194_20260519023145537.jpg,normal,model.37.coord_att,40x40,0.0225,0.8267805576324463,0.8566732406616211,-0.029892683029174805,0.1732194423675537,0.1433267593383789,0.029892683029174805
622_xinjiang_IMG_0194_20260519023145537.jpg,normal,model.38.coord_att,20x20,0.0125,0.6697983741760254,0.7294241786003113,-0.05962580442428589,0.3302016258239746,0.2705758213996887,0.05962580442428589
622_xinjiang_IMG_0194_20260519023145537_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0271875,0.9548272490501404,0.9665065407752991,-0.011679291725158691,0.04517275094985962,0.03349345922470093,0.011679291725158691
622_xinjiang_IMG_0194_20260519023145537_realexp.jpg,overexposed,model.37.coord_att,40x40,0.024375,0.8388064503669739,0.856917142868042,-0.018110692501068115,0.16119354963302612,0.143082857131958,0.018110692501068115
622_xinjiang_IMG_0194_20260519023145537_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0175,0.637511670589447,0.7310775518417358,-0.09356588125228882,0.362488329410553,0.26892244815826416,0.09356588125228882
622_xinjiang_IMG_0194_20260601204858088_realexp.jpg,overexposed,model.36.coord_att,80x80,0.01015625,0.9533396363258362,0.9677436947822571,-0.014404058456420898,0.04666036367416382,0.03225630521774292,0.014404058456420898
622_xinjiang_IMG_0194_20260601204858088_realexp.jpg,overexposed,model.37.coord_att,40x40,0.00625,0.9110110998153687,0.8463671207427979,0.0646439790725708,0.08898890018463135,0.15363287925720215,-0.0646439790725708
622_xinjiang_IMG_0196_20260519180512217.jpg,normal,model.36.coord_att,80x80,0.021875,0.9558693170547485,0.9712531566619873,-0.01538383960723877,0.044130682945251465,0.028746843338012695,0.01538383960723877
622_xinjiang_IMG_0196_20260519180512217.jpg,normal,model.37.coord_att,40x40,0.01625,0.8146170973777771,0.874292254447937,-0.05967515707015991,0.1853829026222229,0.125707745552063,0.05967515707015991
622_xinjiang_IMG_0196_20260519180512217.jpg,normal,model.38.coord_att,20x20,0.0075,0.6379355788230896,0.7387970685958862,-0.10086148977279663,0.3620644211769104,0.26120293140411377,0.10086148977279663
622_xinjiang_IMG_0196_20260519180512217_realexp.jpg,overexposed,model.36.coord_att,80x80,0.02875,0.963391900062561,0.9714009761810303,-0.008009076118469238,0.036608099937438965,0.028599023818969727,0.008009076118469238
622_xinjiang_IMG_0196_20260519180512217_realexp.jpg,overexposed,model.37.coord_att,40x40,0.02375,0.8439470529556274,0.8743048310279846,-0.030357778072357178,0.15605294704437256,0.12569516897201538,0.030357778072357178
622_xinjiang_IMG_0196_20260519180512217_realexp.jpg,overexposed,model.38.coord_att,20x20,0.015,0.7017302513122559,0.7355498671531677,-0.033819615840911865,0.29826974868774414,0.2644501328468323,0.033819615840911865
622_xinjiang_IMG_0198_20260602053519966.jpg,normal,model.36.coord_att,80x80,0.01296875,0.9581660032272339,0.9680418372154236,-0.009875833988189697,0.04183399677276611,0.031958162784576416,0.009875833988189697
622_xinjiang_IMG_0198_20260602053519966.jpg,normal,model.37.coord_att,40x40,0.01,0.8772791624069214,0.8529079556465149,0.024371206760406494,0.12272083759307861,0.1470920443534851,-0.024371206760406494
622_xinjiang_IMG_0198_20260602053519966.jpg,normal,model.38.coord_att,20x20,0.005,0.4435983896255493,0.696674108505249,-0.2530757188796997,0.5564016103744507,0.303325891494751,0.2530757188796997
622_xinjiang_IMG_0198_20260602053519966_realexp.jpg,overexposed,model.36.coord_att,80x80,0.01703125,0.9570614695549011,0.9687938690185547,-0.011732399463653564,0.04293853044509888,0.031206130981445312,0.011732399463653564
622_xinjiang_IMG_0198_20260602053519966_realexp.jpg,overexposed,model.37.coord_att,40x40,0.013125,0.889329195022583,0.8533498048782349,0.035979390144348145,0.11067080497741699,0.14665019512176514,-0.035979390144348145
